# Title: Install Community Content,,,,,,,,,,,,,,,,,,,,,,,,,
"# Description: This option loads Community content on the publish instance for the primary Community functions such as Blogs, Forums, Calendars",,,,,,,,,,,,,,,,,,,,,,,,,
# The following lines are joining a few users to the site previously created,,,,,,,,,,,,,,,,,,,,,,,,,
SiteMembers,/content/we-retail/us/en/community/configuration.json,addMembers,weston.mccall@dodgit.com,addMembers,aaron.mcdonald@mailinator.com,addMembers,jason.werner@dodgit.com,addMembers,ryan.palmer@spambob.com,addMembers,josh.bradley@pookmail.com,addMembers,rebekah.larsen@trashymail.com,addMembers,andrew.schaeffer@trashymail.com,addMembers,donna.billups@pookmail.com,addMembers,boyd.larsen@dodgit.com,addMembers,emily.andrews@mailinator.com,addMembers,felicia.carter@trashymail.com,addMembers,ashley.thompson@spambob.com
# The following lines are creating some private messages,,,,,,,,,,,,,,,,,,,,,,,,,
Message,/content/we-retail/us/en/community/messaging/compose.html,,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,weston.mccall@dodgit.com,Invitation to a private group,"Hey Weston, have you checked our new subgroup re: desert hiking?",,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,weston.mccall@dodgit.com,Answered question,Can you please check the best answer to your question about the lagos longboard?,,,,,,,,,,,,,,,,,,,,,
emily.andrews@mailinator.com,0,aaron.mcdonald@mailinator.com,"Surfing, private group?","Hey Aaron, I hear there's also a private group for discussing surfing in your Community, can I please get access? Thanks a ton.",,,,,,,,,,,,,,,,,,,,,
# The following lines initialize the Social Graph,,,,,,,,,,,,,,,,,,,,,,,,,
Follow,/content/we-retail/us/en/community/profile/jcr:content/content/primary/userprofile/socialgraph.social.json,,,,,,,,,,,,,,,,,,,,,,,,
weston.mccall@dodgit.com,0,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,ashley.thompson@spambob.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,andrew.schaeffer@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,rebekah.larsen@trashymail.com,,,,,,,,,,,,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,weston.mccall@dodgit.com,,,,,,,,,,,,,,,,,,,,,,,
# The following lines are setting notification preferences for demo users,,,,,,,,,,,,,,,,,,,,,,,,,
